id,Number_of_Shots_Fired,Distance_of_Victim_from_Police,Response_Time,Number_of_Officers_Involved,Time_of_Day,Population_Density_Of_City,Duration_of_Incident,Distance_from_the_Nearest_Police_Station
2981,3,466,9,6,07:54AM,419692,61,736
2982,10,1168,16,1,08:40AM,204463,52,410
2983,0,873,12,4,08:30AM,392800,9,485
2984,9,332,19,2,08:42PM,441856,90,1343
2985,4,1459,6,3,07:18PM,106540,54,319
2986,2,360,17,4,11:13AM,498087,71,923
2987,2,1427,10,2,08:43PM,434652,21,349
2988,10,1234,15,1,07:21PM,123094,76,1606
2991,9,528,12,4,02:10AM,273565,78,388
2992,1,1274,4,5,09:11PM,444573,46,202
2993,1,630,0,6,07:41AM,161680,47,1084
2994,6,308,2,3,07:56AM,264870,81,1572
2995,2,1382,17,2,04:35PM,111133,78,1337
2996,3,1055,7,3,09:09PM,204108,71,195
2999,7,250,4,4,08:47PM,446458,7,296
3000,10,1174,1,3,11:08AM,209657,21,1565
3002,5,843,5,6,02:18AM,217884,47,461
3004,6,655,14,4,06:39AM,464660,80,498
3005,6,302,16,2,06:44PM,106540,62,367
3008,7,1162,19,1,07:33PM,325613,22,840
3009,0,265,0,4,05:15PM,242518,63,1599
3010,0,557,14,2,07:43PM,335046,61,189
3011,4,277,17,4,03:07AM,196895,3,1239
3012,8,949,6,3,10:16AM,369256,34,909
3013,9,611,15,6,12:05PM,214253,16,1714
3014,7,760,19,5,02:59AM,152472,16,778
3015,5,1463,17,5,09:41AM,219930,86,395
3016,1,165,12,1,10:33AM,463946,73,1364
3019,8,1191,3,6,12:16AM,429536,48,847
3021,3,579,0,3,12:12PM,110951,84,1560
3022,0,1168,4,2,11:38PM,219930,77,1274
3023,10,1103,13,4,11:42PM,339989,35,1177
3024,4,50,18,2,11:24AM,287635,65,122
3025,4,282,7,1,06:18PM,352352,83,170
3026,10,603,9,5,01:49PM,281164,29,1537
3027,7,297,19,4,12:37PM,224155,2,140
3029,4,707,17,1,01:10AM,482538,72,1019
3030,9,266,15,4,11:42PM,224967,15,1336
3031,1,191,4,5,09:19AM,323591,57,718
3032,6,729,15,3,04:23PM,404045,28,1299
3034,4,937,15,3,01:17PM,397439,66,1568
3035,7,375,18,5,09:26AM,363744,51,1998
3036,4,1468,5,3,03:34PM,152472,54,1745
3037,10,372,9,5,12:12PM,217470,28,1243
3038,0,393,12,4,05:31AM,466683,55,573
3041,3,439,18,6,08:59AM,187252,38,1803
3044,10,805,10,1,02:32AM,112622,5,424
3045,10,470,13,6,04:49AM,466654,72,1753
3046,3,635,0,2,07:36AM,276500,50,1327
3047,6,895,6,4,10:29PM,481436,33,1149
3048,4,823,15,4,08:21AM,478614,40,1251
3049,5,112,13,2,05:35PM,115238,23,1694
3050,1,1303,16,3,05:15AM,444406,2,583
3054,3,1361,19,6,10:43AM,495732,60,1849
3055,8,600,16,5,05:10AM,249590,43,210
3056,2,190,20,5,05:56PM,315338,46,813
3057,6,535,15,6,08:39PM,382510,58,737
3058,0,1065,11,1,05:44AM,198978,54,1132
3059,0,577,2,2,10:37PM,287364,13,1688
3060,9,1094,5,1,06:36PM,428637,74,832
3061,9,859,20,6,09:42PM,260630,83,469
3062,7,446,10,3,04:08AM,146982,78,1246
3063,2,1437,1,4,03:07PM,225714,30,364
3064,6,810,8,5,10:19PM,473067,42,141
3066,5,1019,10,3,06:01PM,355643,74,905
3067,8,492,0,2,06:27AM,372241,64,1040
3068,6,1171,18,3,06:51AM,444406,4,1743
3071,8,33,3,3,03:52AM,321664,22,372
3072,5,598,16,6,11:58PM,173487,46,1301
3073,7,1112,9,1,09:03AM,287332,82,513
3074,1,301,7,5,02:29AM,277034,66,1945
3075,9,1482,18,3,01:52PM,268440,54,265
3076,2,951,19,1,09:14AM,381179,78,1749
3077,0,358,5,6,05:12PM,239647,3,1752
3080,6,736,13,4,08:14AM,382608,86,1966
3083,7,706,14,4,07:31PM,424906,19,1842
3084,10,311,9,2,12:02AM,277657,32,1929
3086,0,88,17,6,09:38AM,106489,71,951
3087,1,468,12,3,08:02AM,432581,41,1399
3088,9,1425,7,6,05:42PM,422983,87,354
3089,9,1295,3,4,06:03PM,274608,53,158
3090,2,586,3,5,04:34AM,487415,63,1744
3091,0,590,17,1,05:30AM,110951,36,1323
3092,6,1261,6,2,11:52AM,491989,56,922
3094,10,744,14,4,11:17AM,190465,25,1043
3095,0,1119,1,4,07:03AM,157902,67,1922
3096,7,52,11,4,02:51PM,191185,67,655
3098,3,364,7,4,05:13AM,363744,54,739
3099,5,554,11,5,08:26AM,363328,64,1206
3101,4,946,19,5,12:12AM,400053,62,242
3103,0,93,16,4,06:41AM,258500,78,967
3104,10,1184,12,4,06:48AM,264105,12,957
3105,8,1451,1,2,02:15AM,276500,16,1394
3106,7,938,8,1,06:24AM,110686,57,1986
3107,4,52,2,1,12:55PM,388614,42,672
3108,10,597,11,5,12:22AM,336049,49,1284
3109,3,796,17,6,12:39AM,384799,30,895
3111,8,1047,11,5,07:19PM,449147,14,1954
3112,1,929,4,5,03:42PM,280504,62,936
3113,1,819,7,3,06:05AM,341681,73,271
3114,0,1351,16,6,08:27AM,405530,8,1170
3115,0,504,19,3,11:51AM,268440,27,1667
3116,1,783,14,1,08:41PM,443630,2,327
3117,3,1384,14,6,06:41AM,488010,33,576
3119,1,487,1,4,10:16AM,479352,59,1699
3121,0,1426,20,4,05:06AM,466654,23,1794
3123,4,203,19,3,10:14PM,303859,30,594
3124,5,335,18,3,01:26AM,365204,39,1433
3125,10,1069,11,4,09:29AM,125636,76,1712
3126,8,1051,15,6,03:27AM,136168,4,921
3129,5,15,11,6,10:44AM,286896,53,632
3130,10,408,3,1,07:27AM,231100,55,1391
3131,10,586,8,4,02:08PM,364064,10,690
3132,1,485,13,2,07:32PM,464660,24,722
3133,7,662,9,2,09:22PM,339437,16,1842
3134,2,842,7,4,03:22PM,442573,46,182
3135,0,898,5,1,01:35PM,425053,56,861
3136,7,621,5,4,09:39PM,320340,8,1306
3137,1,1260,3,2,07:39AM,218082,42,160
3138,3,1098,20,3,08:26PM,106489,51,1069
3139,3,215,13,3,08:23AM,100478,85,314
3143,8,83,17,4,11:46PM,329823,55,155
3144,0,728,1,3,06:02AM,190465,78,908
3145,7,352,4,5,06:04AM,404732,76,152
3146,3,546,13,6,11:33PM,366607,16,459
3147,10,521,7,4,02:36AM,133171,71,240
3148,0,1094,12,3,01:41AM,166600,2,1573
3149,4,100,19,1,11:08AM,254907,41,264
3150,3,924,2,2,11:28PM,424674,9,1614
3151,1,404,12,6,01:54PM,460599,74,1480
3152,9,737,16,5,07:43AM,220062,41,604
3153,5,62,8,6,04:15AM,239784,48,350
3155,0,540,16,1,05:47PM,478614,28,1052
3156,2,1245,7,3,03:58PM,491491,77,1038
3157,5,500,9,5,07:13PM,271476,58,390
3158,7,272,3,3,04:07PM,372150,63,637
3160,9,419,3,4,05:37AM,218424,44,307
3162,0,107,15,5,11:15AM,367853,49,380
3163,0,808,11,2,09:36AM,420131,9,580
3164,6,1233,5,6,08:09AM,357381,20,928
3165,3,345,4,1,06:28AM,424898,67,835
3168,0,1005,16,1,06:39PM,423787,40,1617
3170,9,1380,9,6,12:16AM,271686,78,205
3171,1,364,1,6,05:00PM,359138,88,1469
3172,8,367,11,6,12:27AM,439681,8,1299
3173,4,1142,14,4,03:46AM,401140,68,1295
3174,6,1079,7,1,06:43AM,444406,78,1851
3175,1,367,11,6,06:47AM,319015,26,655
3176,1,1457,15,6,10:07AM,333376,41,260
3177,0,700,19,1,08:15PM,328050,54,1849
3179,5,579,14,3,12:51PM,165884,23,337
3180,5,675,2,3,08:05PM,487968,21,585
3181,7,1033,7,5,06:09PM,177637,27,1769
3182,10,198,11,2,01:16PM,406863,18,447
3183,2,1330,7,1,02:02AM,339437,81,715
3184,5,1082,0,3,09:14AM,441032,18,1841
3185,6,160,16,2,11:27PM,428637,13,1929
3186,3,835,12,5,08:19AM,197307,64,1344
3187,2,454,18,2,07:31PM,333665,48,969
3191,8,1055,14,6,02:33PM,470691,81,1341
3192,2,181,16,4,01:23PM,463786,55,421
3194,6,871,11,4,01:55PM,190465,60,1564
3195,2,518,18,3,09:39PM,445503,60,1969
3196,10,1118,2,3,06:08PM,190895,70,1646
3197,8,442,8,1,01:37PM,287364,71,1100
3198,1,908,4,4,12:42PM,106489,58,1688
3200,2,743,16,3,05:58AM,497005,9,143
3201,5,1452,16,6,06:20PM,201631,64,1973
3202,7,37,1,2,03:30PM,298089,44,921
3203,1,166,0,3,11:35PM,274608,87,1873
3204,2,1139,0,6,04:30PM,190465,25,1261
3205,9,447,1,1,06:18PM,228636,3,360
3206,10,852,3,3,05:03AM,223392,42,713
3207,6,701,11,5,05:13PM,206495,14,812
3209,4,5,0,3,10:57AM,439752,4,737
3210,8,876,4,4,02:09AM,396558,87,1110
3211,6,973,11,4,05:28PM,174838,42,1415
3212,6,210,5,4,07:03PM,182540,88,1907
3213,9,1464,14,3,07:52PM,420131,57,466
3214,2,524,18,2,10:39AM,271083,90,1584
3215,10,1498,1,6,08:45PM,275794,67,1412
3216,3,409,12,4,01:20AM,318633,88,1379
3217,3,1186,15,1,04:34PM,456788,33,355
3219,9,769,12,6,02:32PM,219930,71,367
3220,1,1493,12,2,01:23AM,447964,34,1327
3221,5,727,8,6,04:03AM,452240,21,1364
3222,9,1283,9,2,12:14AM,146982,21,1979
3223,3,611,16,1,06:52AM,319015,19,673
3224,6,585,18,4,12:38PM,110951,6,1613
3225,1,1034,8,2,11:57PM,370353,67,1213
3228,7,1373,3,5,08:09PM,416622,75,1490
3229,10,23,16,3,03:32PM,439750,74,508
3230,9,1213,1,3,12:55PM,296040,35,1338
3231,10,252,2,6,12:01PM,158235,70,538
3233,7,1216,17,1,12:47AM,190465,2,171
3234,3,1014,4,6,12:06AM,268440,25,492
3235,9,298,2,5,12:06AM,128741,67,1933
3236,10,222,8,5,04:26AM,343568,23,1029
3237,8,576,12,1,01:20PM,439490,36,1888
3238,5,799,18,4,01:27AM,334691,83,1582
3239,9,1446,6,3,09:29PM,221860,39,855
3240,8,162,6,3,03:55AM,216315,61,1867
3241,5,1289,8,4,09:42AM,439490,55,1848
3243,2,543,20,6,09:31AM,270435,16,1154
3244,1,966,7,4,12:20PM,173408,70,284
3245,4,1376,6,5,06:59PM,271083,5,530
3246,5,740,19,6,01:03PM,234390,39,816
3247,10,1439,12,3,04:44AM,434500,81,827
3248,5,555,4,2,03:34PM,489175,57,1550
3249,0,1047,6,5,04:48AM,209299,3,279
3250,1,1488,10,6,02:26PM,399507,40,538
3251,5,1291,14,4,04:57AM,217470,85,197
3252,1,558,19,3,07:47PM,256861,36,1386
3253,9,194,3,3,11:33AM,197984,25,1980
3254,7,1052,9,4,01:38PM,265663,73,1755
3255,0,279,5,5,12:08PM,464972,18,1200
3256,3,620,0,3,07:23PM,464972,33,1795
3258,1,590,1,3,11:24AM,222509,50,942
3260,8,930,16,2,08:56AM,323299,34,1930
3261,2,481,19,5,04:01AM,203440,42,1235
3262,8,1092,17,5,05:31PM,291213,74,1412
3263,3,279,4,5,01:26AM,396466,34,925
3264,2,1193,17,2,09:30PM,323299,34,1193
3266,6,480,13,2,11:06AM,411567,34,1459
3267,7,807,16,5,07:41PM,275482,71,384
3268,0,898,9,1,02:19PM,430267,24,169
3270,0,1022,18,2,04:57PM,390187,77,1816
3271,6,678,18,2,09:55AM,261994,28,1571
3272,5,1300,3,6,01:43AM,193179,3,423
3273,3,905,11,4,12:38AM,190465,56,295
3274,3,517,20,3,08:51PM,393578,49,297
3275,10,1028,13,6,04:02PM,190465,6,1406
3276,7,159,2,2,07:02PM,133895,69,358
3277,5,791,15,3,04:09AM,408949,49,1535
3278,8,713,4,1,10:33AM,414614,19,1657
3280,9,827,7,5,03:09PM,397524,37,788
3282,5,290,6,1,12:17AM,155839,18,127
3283,6,171,8,6,05:33PM,476855,14,1616
3284,7,802,12,3,01:15AM,407911,62,1628
3285,3,102,17,3,07:23AM,240928,42,1780
3286,3,449,7,6,12:08AM,380361,19,1163
3287,5,48,18,5,07:16PM,294750,68,211
3288,2,945,13,4,03:47AM,384799,44,171
3289,10,771,18,4,11:38PM,467351,69,214
3291,1,507,20,1,06:00AM,434652,44,832
3292,0,130,0,2,09:56AM,327536,12,1077
3293,5,1447,15,3,09:56PM,217470,17,743
3294,5,1047,18,1,04:01PM,219930,61,100
3298,2,445,13,4,05:29PM,478614,14,887
3299,0,740,1,1,04:13AM,217470,24,992
3300,9,1471,5,6,11:51PM,444406,20,1260
3302,5,340,13,1,08:23AM,158171,59,1415
3304,4,31,1,5,07:13AM,312426,56,1654
3305,7,1057,14,6,08:40PM,303747,5,591
3306,8,540,18,6,11:13AM,430622,27,694
3307,2,1275,0,1,04:17AM,469076,78,1159
3308,7,917,8,4,02:45AM,481266,82,387
3309,1,499,10,5,12:53PM,217822,63,391
3310,0,338,3,4,02:08PM,425176,45,457
3312,2,1181,4,4,07:02PM,465388,28,619
3313,3,435,12,4,09:07AM,391244,4,1255
3314,3,1103,11,1,06:17PM,287364,30,161
3318,5,115,1,2,03:19PM,325613,50,1951
3320,2,846,9,3,04:44PM,308922,42,1216
3322,8,980,4,2,09:42AM,110686,86,926
3323,9,563,9,3,02:59AM,287364,24,1722
3324,2,416,2,4,06:51AM,293806,68,698
3325,1,1174,2,4,12:52AM,214711,33,1921
3326,4,1456,19,4,07:31PM,364064,56,1918
3328,1,713,19,4,01:48PM,331077,73,1110
3331,6,931,18,4,07:07PM,428637,59,1532
3332,6,628,13,1,06:53PM,223676,89,814
3333,4,1232,20,2,01:59PM,486889,77,1734
3334,0,1454,14,1,12:06AM,492067,24,1524
3335,1,1330,6,1,06:18PM,363328,86,1760
3337,10,283,6,6,10:36PM,106540,83,679
3338,4,581,19,4,02:24AM,115876,70,634
3339,6,1120,18,3,10:45PM,436201,86,1250
3340,3,258,8,6,04:21PM,277587,52,1578
3341,1,163,8,3,05:21PM,348578,68,1438
3342,6,560,15,5,01:13PM,365482,56,1537
3344,0,106,18,3,03:29AM,118513,71,1484
3345,10,15,9,4,09:56AM,415597,59,823
3346,1,1325,0,2,01:48PM,110951,14,1189
3347,7,792,19,5,01:02PM,490328,73,136
3348,3,1053,4,3,06:55AM,427762,81,121
3351,9,328,6,2,11:30AM,442861,10,1415
3352,3,956,11,1,11:46AM,191185,61,1706
3353,2,876,13,5,06:26AM,144017,62,1750
3354,8,887,20,4,01:28AM,147820,66,175
3355,2,1273,17,4,08:33AM,287364,46,101
3356,7,377,18,1,10:51PM,271673,65,625
3357,8,538,5,2,09:13PM,354392,86,1722
3360,2,732,19,1,06:44AM,425053,8,255
3361,0,415,2,3,10:12AM,401115,8,594
3362,5,1260,2,5,01:15AM,269341,81,1574
3363,5,310,8,6,05:21PM,482898,73,677
3364,1,180,14,4,06:01AM,219930,53,1775
3365,6,815,0,1,09:24AM,336303,45,410
3366,6,1156,16,4,05:30AM,487253,29,1548
3367,5,142,1,1,12:57PM,410989,89,1545
3368,0,1434,12,2,02:52AM,137934,57,578
3371,7,147,8,6,08:49AM,158584,31,739
3373,3,987,5,4,03:41AM,287364,7,628
3374,6,156,10,1,04:38AM,464660,70,707
3375,8,958,0,6,06:30AM,432904,73,898
3376,2,459,2,3,05:13PM,184736,22,1887
3378,5,469,12,2,08:44PM,342196,25,1911
3379,9,409,12,6,05:26AM,482606,66,1789
3381,2,1343,4,3,01:30PM,135427,39,655
3382,6,91,16,5,07:49PM,328313,85,652
3383,9,687,19,1,05:20PM,117062,77,1209
3384,4,933,10,3,09:18PM,226283,75,631
3386,0,1159,19,1,08:44PM,164621,17,701
3387,7,1151,8,1,10:29PM,382745,50,1991
3388,6,607,11,4,03:41PM,280260,4,1995
3389,7,1091,20,6,10:47AM,213128,19,992
3392,3,980,11,6,08:33PM,190465,82,715
3393,5,1063,14,1,03:59PM,153311,60,1613
3394,9,209,3,4,07:47AM,365761,49,606
3395,4,688,3,4,04:15AM,276500,6,1958
3396,10,1059,18,1,03:25AM,206875,52,1315
3397,9,1315,19,3,10:36AM,446982,18,1079
3398,3,375,15,5,03:35AM,263332,56,113
3399,1,493,0,1,01:22PM,427467,38,182
3400,4,1047,15,2,08:55PM,467389,52,1923
3403,3,887,7,2,05:52AM,147953,41,967
3405,0,15,12,3,08:49AM,115629,38,1510
3406,4,1106,10,6,09:57PM,318404,5,536
3407,10,192,15,6,06:36PM,455343,16,1524
3408,9,190,15,3,02:54AM,453577,38,1696
3411,8,1320,1,2,04:04PM,234932,57,247
3412,6,413,19,6,09:52PM,301419,24,1077
3413,6,870,14,1,01:35AM,426975,63,467
3415,8,152,9,5,07:04PM,422859,73,1618
3416,2,713,9,5,11:44AM,258234,78,923
3417,2,273,6,3,02:27PM,247885,58,481
3418,3,1382,6,3,01:15AM,235131,57,1991
3419,5,1189,1,1,07:55AM,396528,4,1012
3420,7,153,14,1,12:06AM,117496,49,187
3421,4,535,18,1,05:29PM,263932,26,258
3422,6,1459,14,3,05:19AM,317619,14,440
3423,10,140,18,1,09:58AM,187559,27,996
3424,6,770,19,1,08:49AM,209299,23,1702
3425,7,16,3,6,11:15PM,190465,41,742
3426,0,1447,2,6,06:51PM,430267,57,911
3428,4,959,2,5,11:46AM,235131,67,301
3430,7,969,11,2,03:27PM,131132,49,1514
3431,10,991,3,1,11:56AM,363017,63,1206
3433,8,1058,6,4,05:18PM,185804,61,1826
3434,10,789,1,5,02:28PM,271083,50,251
3435,9,340,2,4,10:28PM,118917,27,1681
3436,1,462,6,3,01:05PM,118917,37,108
3438,10,471,5,4,05:59PM,243523,29,1973
3439,2,165,8,1,10:02PM,111247,68,102
3441,8,495,0,5,11:40AM,411828,79,1129
3442,8,406,18,2,02:18PM,426975,85,413
3445,3,631,11,4,09:35PM,276812,29,508
3446,9,940,9,1,05:26PM,181008,33,1173
3447,4,541,11,3,08:42PM,273628,70,947
3448,5,1311,7,1,01:31AM,297976,90,1225
3449,7,81,8,4,03:41PM,473067,4,1151
3450,4,405,11,5,08:43AM,234566,72,637
3451,4,244,16,3,11:49PM,492449,16,1588
3452,8,580,5,2,06:07PM,359264,56,375
3453,8,601,14,3,09:04AM,413876,86,1455
3454,2,398,3,4,05:27AM,287012,41,828
3455,1,1105,1,5,06:09AM,331197,23,1871
3456,1,1308,7,3,12:42PM,383303,5,556
3458,8,229,20,1,11:48PM,237285,14,507
3459,4,614,2,4,03:48PM,420753,45,205
3460,8,65,2,2,04:12AM,277096,75,1413
3462,9,247,6,1,07:55PM,428242,69,1355
3463,8,59,17,3,03:47PM,193493,10,1469
3465,6,11,5,3,08:17AM,485129,74,673
3467,2,724,8,5,11:09AM,394268,85,1621
3468,4,605,6,6,07:36AM,218127,16,1520
3470,3,1455,15,6,03:33AM,428637,61,115
3471,6,1262,1,1,04:35PM,428637,21,1039
3472,1,1058,19,2,01:07PM,228424,58,1068
3473,7,1275,15,2,08:47AM,305645,56,1769
3474,2,811,9,1,11:37PM,339272,48,483
3476,5,74,16,3,10:11PM,190465,73,807
3478,9,1044,8,4,08:42PM,216002,5,1371
3479,3,1294,20,4,11:22AM,439709,70,829
3481,5,1317,10,2,04:59AM,232272,31,398
3482,2,1233,10,1,09:38AM,211360,61,306
3483,9,1386,13,3,08:11AM,233233,26,317
3484,5,438,7,6,08:30PM,237930,72,192
3485,4,748,20,3,01:08AM,224794,40,1186
3486,7,8,5,4,11:42AM,124562,35,200
3489,2,1279,13,1,08:02PM,464660,28,184
3490,10,1355,7,3,07:50AM,449197,45,1131
3491,5,1014,20,1,09:48AM,272896,31,1479
3492,3,628,13,3,12:35PM,217470,8,204
3493,7,1494,0,6,07:29PM,318383,66,881
3494,3,825,2,5,11:03AM,363017,78,393
3495,3,1363,14,6,05:12PM,107624,86,963
3496,7,255,19,3,05:34AM,246038,70,249
3498,6,1264,3,4,01:23PM,357434,32,1196
3499,8,1375,9,6,12:36AM,165744,78,1931
3503,5,1211,17,6,03:39AM,280504,15,1112
3505,1,1413,10,4,04:37PM,394268,37,1677
3506,7,1341,3,6,03:50AM,270080,84,401
3507,0,18,11,6,04:32PM,363328,87,239
3508,5,1360,6,3,05:27PM,183523,85,1905
3509,3,938,9,2,06:06AM,197050,16,1182
3510,7,126,3,3,09:01AM,271083,87,139
3511,5,93,2,4,07:31PM,279598,45,760
3512,8,1339,2,2,05:08AM,375573,72,819
3513,8,1316,18,3,02:58AM,124562,37,371
3514,4,109,14,3,07:19PM,160962,58,466
3516,5,1461,11,2,07:26AM,367454,76,1868
3517,9,67,19,4,10:32AM,426975,85,1618
3518,4,1130,6,1,08:10PM,328658,17,1887
3520,7,762,0,3,08:49AM,280504,23,425
3521,6,359,1,6,06:12AM,121647,82,1659
3522,3,92,11,5,12:34PM,426975,77,1966
3523,0,959,6,6,12:20PM,409155,64,1739
3525,7,583,4,4,10:20PM,397439,5,761
3526,10,828,5,2,04:44AM,421590,73,403
3527,9,440,8,4,04:24PM,408236,90,1388
3528,10,482,12,1,12:56PM,219930,75,1892
3529,2,872,14,5,01:48PM,209534,45,1987
3530,3,339,11,5,04:57PM,271619,33,634
3531,1,1026,20,6,09:51PM,118031,67,1430
3532,6,534,15,5,07:19PM,280504,78,1004
3533,0,299,19,5,06:15PM,268440,54,1294
3534,7,712,11,2,11:35PM,261510,78,303
3535,6,869,1,1,11:44AM,276500,88,171
3536,0,313,12,4,05:59AM,133895,39,1466
3537,7,1327,20,1,08:08AM,247393,80,1725
3538,4,481,6,1,09:03AM,474029,64,1864
3539,6,423,4,2,07:24AM,118031,6,206
3540,6,980,19,1,09:50PM,163124,45,1107
3541,3,1245,7,3,08:49AM,231556,20,349
3542,1,528,7,5,04:07AM,207706,60,1957
3543,1,176,5,2,05:41PM,317619,27,1887
3544,2,1096,4,1,07:47AM,405566,68,1760
3545,10,863,6,3,04:56PM,178085,32,1555
3546,6,1040,15,6,01:05AM,110427,37,1821
3547,1,222,12,1,12:06AM,305295,29,172
3550,2,736,0,6,07:47PM,294938,65,268
3551,10,895,10,3,08:06PM,313952,8,1092
3553,8,626,1,4,02:21PM,250441,34,1221
3554,7,950,8,5,11:34PM,443049,2,1051
3555,1,750,3,3,04:55AM,124482,17,375
3556,2,456,1,1,12:22AM,319308,35,1033
3557,5,1367,10,1,05:46AM,272641,17,288
3559,4,1050,10,6,08:27AM,276500,90,279
3560,0,606,13,4,12:16AM,261510,79,286
3561,4,1108,15,2,08:01PM,345088,53,148
3563,7,155,7,5,03:02AM,337231,30,468
3564,10,509,14,5,01:10AM,376797,33,654
3567,10,746,6,6,09:54PM,405530,58,1369
3568,9,424,4,6,11:46PM,451672,68,1824
3569,0,183,2,5,11:46AM,280504,84,878
3570,1,741,6,5,10:14AM,294415,57,1947
3571,3,1334,11,5,03:58PM,126107,83,1689
3572,6,245,17,2,12:47AM,487069,49,596
3573,3,1023,1,3,01:41PM,377954,69,240
3574,6,1150,16,1,02:53PM,492476,13,867
3576,6,804,12,4,03:51PM,414534,77,1606
3577,10,444,2,5,02:20AM,101319,89,1552
3578,6,782,0,4,03:57PM,308922,81,209
3579,6,245,14,5,10:09AM,432568,68,790
3581,7,544,1,1,05:12PM,481641,81,892
3583,1,978,9,3,09:08PM,212604,60,1251
3584,5,852,17,4,10:29AM,491265,75,316
3585,2,582,11,3,03:07PM,271083,33,856
3586,10,1292,5,2,04:12AM,382510,46,561
3587,10,1465,18,3,08:01PM,325579,84,1172
3588,2,486,0,6,02:27PM,475562,29,1070
3590,3,908,19,2,02:45PM,235161,40,1282
3591,3,90,12,4,10:13PM,425176,61,194
3592,8,798,16,2,04:35PM,422664,87,1132
3593,4,605,5,1,02:33PM,280260,23,1761
3595,4,70,17,6,02:29PM,185577,17,1557
3596,3,300,18,1,03:13AM,325579,60,1656
3597,7,1011,11,3,01:37PM,388039,89,1892
3598,9,1311,13,4,05:09PM,361813,42,441
3599,0,721,19,5,02:37AM,287364,81,351
3602,10,678,7,2,01:41PM,320176,65,1404
3603,8,1278,12,2,03:12PM,276500,14,952
3604,8,1002,14,2,10:39PM,209430,63,1956
3605,4,15,10,6,04:18PM,363744,56,1575
3606,1,883,1,6,04:32PM,372743,32,387
3607,5,320,7,3,11:10AM,139401,75,1569
3608,5,29,0,5,05:27PM,345862,5,1265
3610,2,1363,4,5,06:23PM,149930,70,1120
3611,7,571,18,6,02:39PM,370701,31,361
3613,10,757,3,5,05:51AM,308081,14,322
3614,8,486,7,5,01:55PM,276500,75,695
3615,1,256,4,6,07:54PM,190465,66,939
3616,3,706,18,4,11:29AM,342440,28,433
3618,3,674,9,3,05:55PM,382510,39,378
3620,10,579,18,3,07:51AM,325579,79,1433
3621,6,565,14,1,01:27PM,207810,79,288
3622,8,512,16,2,09:18PM,378446,66,956
3623,4,999,1,4,06:39AM,287364,40,781
3624,10,193,9,4,02:22PM,294942,6,1954
3625,4,71,6,2,10:42PM,384119,3,1696
3627,1,1118,17,5,11:29AM,443252,56,356
3628,10,594,1,5,12:19AM,241751,63,1117
3629,7,979,12,1,02:51PM,404965,25,872
3630,0,485,20,3,08:21AM,163930,31,381
3631,8,372,14,6,03:47PM,190465,7,1102
3632,5,1211,7,5,12:04PM,190465,70,196
3633,3,516,2,1,07:19AM,480938,6,867
3634,8,574,7,5,01:55PM,467450,13,664
3635,1,1298,9,4,04:50PM,389341,7,1541
3636,3,744,6,3,07:01AM,226374,59,1170
3637,2,275,17,4,06:10PM,152472,13,1334
3638,9,575,16,3,04:22AM,432096,4,482
3639,10,511,20,6,04:33PM,174838,49,1473
3640,4,1093,13,5,08:03PM,263557,35,1869
3641,1,555,1,1,08:29AM,223676,44,1024
3642,2,1099,6,6,02:14AM,385884,22,1837
3643,10,593,0,4,07:47AM,404732,17,1810
3645,10,545,9,5,05:29PM,372652,13,660
3646,7,1117,15,6,06:25AM,487069,61,1222
3647,10,1326,16,5,12:05PM,288603,43,1640
3648,4,110,3,6,09:17PM,427255,12,118
3649,2,306,19,2,09:06PM,439684,11,1636
3650,4,506,15,1,09:51PM,271686,9,1106
3652,5,994,11,3,11:00AM,257680,12,1823
3655,1,737,11,2,08:42PM,351655,29,1540
3658,4,1302,1,1,05:58AM,297149,56,1730
3659,2,1008,0,4,06:25AM,422859,15,1797
3660,0,1425,4,5,10:00PM,239647,81,1851
3661,9,671,19,6,07:18AM,272962,3,609
3662,0,367,6,3,11:43AM,273628,14,1347
3663,9,134,15,2,10:50PM,268440,81,869
3664,9,927,12,5,11:43PM,112910,40,1090
3665,1,528,17,2,10:31PM,165744,60,1575
3666,4,388,7,4,07:52AM,365482,16,1713
3668,6,753,10,2,12:58AM,116201,48,988
3669,1,1442,0,5,06:37PM,425176,8,1946
3670,0,875,18,3,08:00PM,231655,29,173
3671,5,419,17,2,02:40PM,375669,48,1559
3672,3,919,15,6,11:06PM,192275,37,532
3673,2,595,20,6,04:58AM,113856,38,148
3674,4,838,12,5,11:15AM,111213,28,469
3678,8,843,10,4,06:33AM,467389,54,1425
3679,8,171,18,2,07:23PM,270080,47,1816
3681,1,1197,18,1,05:48PM,239647,88,904
3682,2,847,15,5,12:39AM,287635,6,555
3684,5,404,16,2,08:32PM,136625,6,1621
3686,1,1288,4,4,01:23AM,152059,36,981
3687,3,1092,11,4,06:25PM,397439,44,1110
3688,7,904,19,5,10:28AM,384799,31,1110
3689,1,313,16,1,09:01AM,345500,34,1232
3690,6,533,0,3,06:33AM,263669,9,519
3691,6,1497,3,2,03:48PM,418051,12,1501
3692,4,645,6,5,09:37AM,212604,42,1793
3693,10,1286,19,4,08:09AM,342721,25,505
3694,10,1305,6,6,08:51AM,246288,21,1703
3695,1,102,0,4,07:46PM,467389,39,1852
3696,4,1491,7,5,09:42AM,220950,46,1375
3697,7,1472,17,2,02:49PM,439750,24,1445
